name;phone_code
AFGANISTAN;93
AFRIKA SELATAN;27
AFRIKA TENGAH;236
ALBANIA;355
ALGERIA;213
AMERIKA SERIKAT;1
ANDORRA;376
ANGOLA;244
ANTIGUA & BARBUDA;1-268
ARAB SAUDI;966
ARGENTINA;54
ARMENIA;374
AUSTRALIA;61
AUSTRIA;43
AZERBAIJAN;994
BAHAMA;1-242
BAHRAIN;973
BANGLADESH;880
BARBADOS;1-246
BELANDA;31
BELARUS;375
BELGIA;32
BELIZE;501
BENIN;229
BHUTAN;975
BOLIVIA;591
BOSNIA & HERZEGOVINA;387
BOTSWANA;267
BRASIL;55
BRITANIA RAYA (INGGRIS);44
BRUNEI DARUSSALAM;673
BULGARIA;359
BURKINA FASO;226
BURUNDI;257
CEKO;420
CHAD;235
CHILI;56
CHINA;86
DENMARK;45
DJIBOUTI;253
DOMIKIA;1-767
EKUADOR;593
EL SALVADOR;503
ERITREA;291
ESTONIA;372
ETHIOPIA;251
FIJI;679
FILIPINA;63
FINLANDIA;358
GABON;241
GAMBIA;220
GEORGIA;995
GHANA;233
GRENADA;1-473
GUATEMALA;502
GUINEA;224
GUINEA BISSAU;245
GUINEA KHATULISTIWA;240
GUYANA;592
HAITI;509
HONDURAS;504
HONGARIA;36
HONGKONG;852
INDIA;91
INDONESIA;62
IRAK;964
IRAN;98
IRLANDIA;353
ISLANDIA;354
ISRAEL;972
ITALIA;39
JAMAIKA;1-876
JEPANG;81
JERMAN;49
JORDAN;962
KAMBOJA;855
KAMERUN;237
KANADA;1
KAZAKHSTAN;7
KENYA;254
KIRGIZSTAN;996
KIRIBATI;686
KOLOMBIA;57
KOMORO;269
REPUBLIK KONGO;243
KOREA SELATAN;82
KOREA UTARA;850
KOSTA RIKA;506
KROASIA;385
KUBA;53
KUWAIT;965
LAOS;856
LATVIA;371
LEBANON;961
LESOTHO;266
LIBERIA;231
LIBYA;218
LIECHTENSTEIN;423
LITUANIA;370
LUKSEMBURG;352
MADAGASKAR;261
MAKAO;853
MAKEDONIA;389
MALADEWA;960
MALAWI;265
MALAYSIA;60
MALI;223
MALTA;356
MAROKO;212
MARSHALL (KEP.);692
MAURITANIA;222
MAURITIUS;230
MEKSIKO;52
MESIR;20
MIKRONESIA (KEP.);691
MOLDOVA;373
MONAKO;377
MONGOLIA;976
MONTENEGRO;382
MOZAMBIK;258
MYANMAR;95
NAMIBIA;264
NAURU;674
NEPAL;977
NIGER;227
NIGERIA;234
NIKARAGUA;505
NORWEGIA;47
OMAN;968
PAKISTAN;92
PALAU;680
PANAMA;507
PANTAI GADING;225
PAPUA NUGINI;675
PARAGUAY;595
PERANCIS;33
PERU;51
POLANDIA;48
PORTUGAL;351
QATAR;974
REP. DEM. KONGO;242
REPUBLIK DOMINIKA;1-809; 1-829
RUMANIA;40
RUSIA;7
RWANDA;250
SAINT KITTS AND NEVIS;1-869
SAINT LUCIA;1-758
SAINT VINCENT & THE GRENADINES;1-784
SAMOA;685
SAN MARINO;378
SAO TOME & PRINCIPE;239
SELANDIA BARU;64
SENEGAL;221
SERBIA;381
SEYCHELLES;248
SIERRA LEONE;232
SINGAPURA;65
SIPRUS;357
SLOVENIA;386
SLOWAKIA;421
SOLOMON (KEP.);677
SOMALIA;252
SPANYOL;34
SRI LANKA;94
SUDAN;249
SUDAN SELATAN;211
SURIAH;963
SURINAME;597
SWAZILAND;268
SWEDIA;46
SWISS;41
TAJIKISTAN;992
TANJUNG VERDE;238
TANZANIA;255
TAIWAN;886
THAILAND;66
TIMOR LESTE;670
TOGO;228
TONGA;676
TRINIDAD & TOBAGO;1-868
TUNISIA;216
TURKI;90
TURKMENISTAN;993
TUVALU;688
UGANDA;256
UKRAINA;380
UNI EMIRAT ARAB;971
URUGUAY;598
UZBEKISTAN;998
VANUATU;678
VENEZUELA;58
VIETNAM;84
YAMAN;967
YUNANI;30
ZAMBIA;260
ZIMBABWE;263
